Address,Amount
0xe4691a76bdec6406c990b490637a0b2f9dbedac6,1.00
0xb900c514817555eaa06cd7d77707e9ed3f4ba45a,1.00
0xfc74527c39342039aba5a12c4db7a5d051000381,1.00
0xf108e1e40e7579fa2e3555dd7e5857e53eb66421,1.00
0x871dae8a9dd608905321c33bf9c149c52b3c988c,1.00
0xd28ff8f1f63296accd2fc7c9d7726aa7ed1c94c1,1.00
0x76a0e8ac4c406670358549914cc4b5adb8f31511,1.00
0xbb98a96ce06b0dd3d493fd167a3a70ae8e5c5eff,1.00
0xa24d75fc62e12400f7c2242429187a23cdb8d827,1.00
0xdf2c6ce06ec77ee22d1744438578c0249ae4feba,1.00
0x33da60580e6f1afa0b955945918bcd9ffb5cb3ec,1.00
0xf6b9e299ab9df49b402ae429d5e48e5873074ea3,1.00
0xf5a9ea970d22bbab2a64e21fe4907a7f5a3b57bc,1.00
0x711f0a117e7fd51e5efbf97400fc45bb7c03ac37,1.00
